Region, year15, year16, year17
East Asia,5.626166666666666, 5.624166666666667, 5.646666606166666
Middle East & Northern Africa, 5.414611111111111, 5.37429411764706, 5.3624705707058835
South Asia, 4.580857142857143, 4.563285714285714, 4.628428561142856
Australia & NZ, 7.285, 7.323499999999999, 7.299000025
Central/Eastern Europe, 5.332931034482758, 5.3706896551724155, 5.4099310349310334
North America, 7.273, 7.254, 7.154500008
Southeastern Asia, 5.4437500000000005, 5.456875, 5.573428562714286
Sub-Saharan Africa, 4.186228571428571, 4.043666666666666, 4.020906254625
Western Europe, 6.7623684210526305, 6.810777777777777, 6.823333369444445
Latin America & Caribbean, 6.1446818181818195, 6.065772727272727, 5.957904781619048
